-------------------------当前TTI1----------------------------------
Id 距离     平均吞吐量     总比特数
7   72.2496    64.8356      1.935
8   52.469    58.6142      1.837
10   51.1957    46.7816      1.402
11   33.6155    48.72      1.513
13   66.7533    45.7688      1.419
14   33.2415    47.1701      1.366
-------------------------当前TTI30----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    59.4099      1.913
2   69.6419    60.2491      1.91
3   37.108    70.1844      2.093
5   69.2315    66.0684      2.007
7   72.2496    64.452      1.996
8   52.469    59.2528      1.902
10   51.1957    46.6034      1.447
11   33.6155    47.748      1.552
13   66.7533    46.2919      1.47
14   33.2415    48.7531      1.429
-------------------------当前TTI31----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    60.8689      1.987
2   69.6419    59.3242      1.961
3   37.108    70.566      2.167
5   69.2315    65.8616      2.071
7   72.2496    64.2068      2.058
8   52.469    60.5275      1.974
10   51.1957    47.2431      1.5
11   33.6155    47.1732      1.594
13   66.7533    48.6627      1.54
14   33.2415    47.1778      1.462
-------------------------当前TTI32----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    60.982      2.049
2   69.6419    59.6918      2.024
3   37.108    70.9094      2.241
5   69.2315    65.2754      2.131
7   72.2496    63.5861      2.116
8   52.469    62.5748      2.055
10   51.1957    49.2188      1.567
11   33.6155    47.9559      1.649
13   66.7533    51.3964      1.616
14   33.2415    42.46      1.462
-------------------------当前TTI33----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    61.8838      2.119
2   69.6419    61.3226      2.1
3   37.108    69.0185      2.293
5   69.2315    66.5479      2.209
7   72.2496    64.0275      2.184
8   52.469    61.6173      2.108
10   51.1957    50.2969      1.627
11   33.6155    48.0603      1.698
13   66.7533    51.3568      1.667
14   33.2415    42.114      1.501
-------------------------当前TTI34----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    60.4954      2.167
2   69.6419    61.1903      2.16
3   37.108    71.2167      2.384
5   69.2315    65.7931      2.268
7   72.2496    64.5248      2.253
8   52.469    62.5556      2.179
10   51.1957    49.1672      1.666
11   33.6155    48.5543      1.751
13   66.7533    51.2211      1.717
14   33.2415    43.5026      1.557
-------------------------当前TTI35----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    62.4459      2.247
2   69.6419    60.8713      2.218
3   37.108    70.095      2.444
5   69.2315    66.3138      2.339
7   72.2496    66.0723      2.333
8   52.469    61      2.226
10   51.1957    49.0505      1.714
11   33.6155    50.8989      1.823
13   66.7533    50.199      1.758
14   33.2415    42.8523      1.594
-------------------------当前TTI36----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    63.5013      2.32
2   69.6419    59.0842      2.261
3   37.108    71.2855      2.526
5   69.2315    66.5824      2.408
7   72.2496    66.0651      2.399
8   52.469    61.3      2.29
10   51.1957    48.3455      1.756
11   33.6155    50.009      1.865
13   66.7533    51.0791      1.817
14   33.2415    44.0671      1.649
-------------------------当前TTI37----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    62.9512      2.378
2   69.6419    57.9758      2.309
3   37.108    73.3569      2.618
5   69.2315    66.0242      2.469
7   72.2496    66.5586      2.47
8   52.469    61.87      2.357
10   51.1957    48.311      1.804
11   33.6155    50.0081      1.915
13   66.7533    51.1712      1.869
14   33.2415    44.3604      1.696
-------------------------当前TTI38----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    64.5561      2.457
2   69.6419    57.6782      2.364
3   37.108    72.4212      2.682
5   69.2315    64.2218      2.517
7   72.2496    66.3027      2.534
8   52.469    64.283      2.443
10   51.1957    47.7799      1.847
11   33.6155    48.9073      1.954
13   66.7533    51.2541      1.921
14   33.2415    46.3244      1.76
-------------------------当前TTI39----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.5005      2.531
2   69.6419    58.0104      2.425
3   37.108    71.5791      2.746
5   69.2315    63.7996      2.577
7   72.2496    66.5724      2.603
8   52.469    64.8547      2.513
10   51.1957    45.9019      1.876
11   33.6155    49.2166      2.006
13   66.7533    51.9287      1.979
14   33.2415    47.692      1.82
-------------------------当前TTI40----------------------------------
Id 距离     平均吞吐量     总比特数
1   41.1096    65.8505      2.6
2   69.6419    60.9094      2.512
3   37.108    68.7212      2.789
5   69.2315    64.2196      2.645
7   72.2496    69.4152      2.698
8   52.469    61.8692      2.548
10   51.1957    46.1117      1.924
11   33.6155    51.1949      2.075
13   66.7533    50.7358      2.019
14   33.2415    47.0228      1.861
-------------------------当前TTI41----------------------------------
