-------------------------当前TTI0----------------------------------
Id 距离     平均吞吐量     总比特数      速度      优先级
26   8.16333    5.76      0.064      51      796
27   65.8149    0      0      33      3300
28   10.0225    0      0      29      2900
29   51.3869    4.9572      0.068      35      635
30   55.5828    6.21      0.069      47      681
31   52.8766    4.95      0.0235714      41      745
32   51.1    4.8843      0.067      49      902
33   41.766    5.346      0.066      29      488
34   39.2562    5.1      0.00728571      51      0
35   46.9366    5.0301      0.069      66      1180
36   32.9    4.374      0.06      57      1172
37   47.9334    5.3      0.053      53      0
38   25.9    5.1      0      51      0
39   48.6236    0      0      42      4200
40   50.8838    0      0      42      4200
41   37.8583    0      0      46      4600
42   19.8114    0      0      47      4700
43   32.7283    4.3011      0.00842857      63      1318
44   46.3324    4.95      0      48      872
45   55.7545    0      0      37      3700
46   54.4472    5.265      0.065      30      512
47   51.1767    0      0      43      4300
48   50.5214    5.3946      0.074      39      650
49   35.2024    0      0      44      4400
50   35.4244    5.265      0.065      42      717
51   31.258    0      0      46      4600
52   33.6073    6.6      0.066      66      0
53   53.4068    7.4      0.074      74      0
54   65.6696    5.0301      0.069      42      751
55   45.2408    5.13      0.057      52      912
56   47.404    4.8114      0.066      59      1103
57   50.0879    0      0      36      3600
58   18.3742    6.12      0.068      43      632
59   61.9213    5.184      0.064      54      937
60   39.8016    5.832      0.072      30      462
61   64.5368    0      0      31      3100
62   44.9365    4.5198      0.062      60      1194
63   39.3559    4.5198      0.062      64      1274
64   14    5.5      0.055      55      0
65   13.0208    4.4469      0.061      50      1011
66   34.5774    4.779      0.0252857      62      1167
67   68.0298    6.6      0.066      66      0
68   28    4.95      0      43      781
69   68.8175    0      0      41      4100
70   63.0971    5.346      0.066      37      622
71   38.6588    5.184      0.064      46      798
72   65.2616    0      0      41      4100
73   31.5078    5.5      0.055      55      0
74   44.4541    5.76      0.064      64      1000
75   47.5846    0      0      39      3900
76   28.3219    5.7      0.057      57      0
77   57.1433    5.49      0.061      50      819
78   47.7696    5.58      0.062      47      758
79   24.6197    4.779      0      58      1092
80   33.7165    5.04      0.056      48      857
81   42.1456    6.6      0.066      66      0
-------------------------当前BBU0----------------------------------
-------------------------当前BBU1----------------------------------
-------------------------当前BBU2----------------------------------
-------------------------当前BBU3----------------------------------
82   16.8582    10.817      0.119      62      0
83   67.6252    9.8095      0.113      58      0
84   51.8756    4.536      0.056      56      1111
85   44.1222    9.351      0.109      43      413
86   31.305    5.76      0.064      59      921
87   18.2538    9.331      0.077      52      0
88   25.672    4.5198      0.062      47      935
89   20.4083    5.67      0.063      49      777
90   44.4707    5.184      0.064      38      659
91   56.7389    9.95      0.100667      59      0
92   37.6962    4.3011      0.059      35      732
93   53.5397    8.9366      0.104      50      0
94   46.4591    10.69      0.112      61      0
95   11.9    8.04      0.084      48      0
96   54.0951    8.62      0.09      52      0
97   15.3522    5.589      0.069      44      708
98   53.3655    5.022      0.062      37      663
99   34.7541    4.5198      0.062      31      617
100   62.1109    10.9927      0.127      64      0
101   46.2689    9.072      0.0597143      50      496
102   25.6338    10.287      0.12      55      481
103   50.5941    3.42      0.038      38      1000
104   59.43    10.0469      0.117      56      0
105   50.7102    5.04      0.056      55      982
106   48.061    4.05      0      47      1044
107   20.6708    4.131      0.051      36      784
108   65.0398    4.0824      0.056      38      837
109   40.8886    10.99      0.115      64      0
110   42.9802    5.5404      0.076      59      958
111   46.7273    10.374      0.12      60      0
112   37.4156    4.0095      0.055      46      1032
113   42.1456    10.2024      0.124      20      176
114   42.7229    3.6      0.04      44      1100
115   38.0841    4.6656      0.064      53      1022
116   25.5476    9.712      0.107      55      0
117   45.3436    5.508      0.068      41      669
118   63.0194    9.09      0.095      54      0
119   40.9664    4.536      0.056      51      1011
120   50.4194    9.631      0.106      55      0
121   56.4618    8.7966      0.0848571      51      521
122   43.1793    5.04      0.056      7      125
123   14.1739    3.96      0.044      0      0
-------------------------当前BBU4----------------------------------
-------------------------当前BBU5----------------------------------
